Id,Name,Location,CheckInDate,CheckOutDate,PricePerNight
1;Hotel 1;SFO;2024-11-30;2024-12-12;336,84
2;Hotel 2;SFO;2024-11-05;2024-11-12;166,14
3;Hotel 3;LAX;2025-01-15;2025-01-25;458,88
4;Hotel 4;NYC;2024-07-19;2024-07-20;430,5
5;Hotel 5;LAX;2024-12-20;2024-12-29;345,02
6;Hotel 6;NYC;2025-06-02;2025-06-03;397,4
7;Hotel 7;CDG;2025-01-14;2025-01-17;391,77
8;Hotel 8;NYC;2024-10-24;2024-11-06;431,16
9;Hotel 9;SFO;2025-02-14;2025-02-15;97,49
10;Hotel 10;LAX;2025-05-28;2025-05-29;291,44
11;Hotel 11;SFO;2024-12-06;2024-12-15;188,06
12;Hotel 12;LAX;2024-08-16;2024-08-21;236,76
13;Hotel 13;LAX;2024-11-05;2024-11-15;333
14;Hotel 14;SFO;2025-01-08;2025-01-13;450,29
15;Hotel 15;CDG;2024-09-04;2024-09-15;429,65
16;Hotel 16;LAX;2025-05-07;2025-05-10;331,74
17;Hotel 17;SFO;2025-06-15;2025-06-25;209,49
18;Hotel 18;CDG;2025-06-01;2025-06-04;309,7
19;Hotel 19;SFO;2025-01-03;2025-01-05;447,19
20;Hotel 20;SFO;2024-08-26;2024-08-29;286,4
